"product_id","product_name","alergen_tags"
"15478","Snickers Chocolate Party Share Bag","[""Sesame Free""]"
"12204","Gonutz Dippers Crackers N Dip Peanut Butter","[""Dairy Free"",""Egg Free"",""Sesame Free""]"
"15520","Nutella & Go Hazelnut Spread","[""Egg Free"",""Peanut Free"",""Sesame Free""]"
"12350","Wheelies Creme Filled Chocolate","[""Egg Free"",""Peanut Free"",""Sesame Free""]"
"14989","Cookie Time Cookies Original Chocolate Chunk","[""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"16010","Noshu 98% Sugar Free Buttermilk Pancake Mix","[""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13938","Cadbury Mixed Bag Milk Chocolate Easter Eggs","[""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13318","Milky Way Chocolate Bar Fun Size","[""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"15457","Cookie Time Triple Chocolate Chunk Cookies","[""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"10372","The Natural Food Co Savouries Mixed 2.1kg","[""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13978","Cadbury Creme Egg Gift Box","[""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"4897","Raspberry & Coconut Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"11013","Vogels Crunchy Muesli Clusters Peanut Butter","[""Dairy Free"",""Egg Free"",""Sesame Free"",""Soy Free""]"
"8863","Wallaby Oat Free Porridge Cranberry/Vanilla","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"9105","Well & Truly Gluten Free Crunchy Crumble","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"13021","Uncle Tobys Breakfast Bakes Breakfast Bars Apple & Cinnamon","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"9536","Well & Truly Macadamia Gold Gourmet Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"9535","Well & Truly Raspberry Road Gourmet Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"11009","Sanitarium Cluster Crisp Muesli Macadamia & Salted Caramel","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"9660","Well & Truly Macadamia Gold Gourmet Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"14111","Pams Finest Luxury Toasted Ancient Grains & Superfruits","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"9534","Well & Truly Raspberry Road Gourmet Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"4900","Organic Ginger Zest Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"14130","Vogel's Peanut Butter Chia And Coconut Delightful Granola","[""Dairy Free"",""Egg Free"",""Sesame Free"",""Soy Free""]"
"11104","Sanitarium Toasted Muesli Golden Oats & Fruit","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"4884","Tropical Mango & Fruit Crunch","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free""]"
"12737","Uncle Tobys Breakfast Bakes Breakfast Bars Berry Harvest","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"11097","Sanitarium Low Gi Granola Golden Almond Crunch","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"13478","Vogels All Good Muesli Almond, Cashew & Linseed","[""Dairy Free"",""Egg Free"",""Sesame Free"",""Soy Free""]"
"11616","Uncle Tobys Breakfast Bakes Cereal Bars Honey Roasted Almond","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"8859","Wallaby Oat Free Porridge Maple/Fig","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"7751","Organic Granola - Turmeric Coconut Latte","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Soy Free""]"
"13667","Sanitarium Toasted Fruit Muesli Super Fruity","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"11014","Sanitarium Low Gi Granola Strawberry & Coconut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free""]"
"13474","Hubbards Simply Toasted Fruit Muesli Apricot","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13650","Hubbards Fruitful Breakfast Toasted Fruit Muesli","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"15482","M&M's Milk Chocolate Party Share Bag","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"12952","Arnotts Tiny Teddy Plain Biscuits Variety Pak","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13945","Cadbury Buzz Bar Marshmallow Eggs Sharepack","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"14090","Pams Toasted Muesli","[""Egg Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"13982","Cadbury Dairy Milk Clinker Bunnies Sharepack","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13028","Nestle Milo Whole Grain Cereal High In Protein","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"7774","Keto Gourmet Granola - Peanut Butter","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Soy Free"",""Wheat Free""]"
"15180","Pic's Really Good Peanut & Chocolate Butter","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]"
"7755","Keto Gourmet Granola - Peanut Butter","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Soy Free"",""Wheat Free""]"
"11569","Sanitarium Up & Go Breakfast Drink Vanilla Ice Fridge Pack","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"12738","Nestle Cereal Milo Duo","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13952","M&M's Mini Chocolate Easter Eggs Bag","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"11570","Sanitarium Up & Go Breakfast Drink Chocolate Fridge Pk","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"9357","Little Bird Grawnola Cacoa Superfoods","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14108","Hubbards Berry Berry Nice Muesli","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13319","Cadbury Share Pack Buzz Bar Chocolates","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13314","Nestle Kit Kat Share Pack Chocolates","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"12764","Nabisco Belvita Breakfast Bars Chocolate","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13305","Sanitarium Up & Go Energize Breakfast Drink Choc","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"12380","Barkers Lemon Curd New Zealand","[""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"11452","Anathoth Lemon Curd","[""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"16093","Secret Kiwi Kitchen Buttermilk Pancake & Waffle Mix","[""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"13661","Hubbards Be Mighty Granola Crunchy Almond","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13653","Hubbards Amazing Clusters Cereal Vanilla & Almond","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13470","Hubbards Amazing Natural Muesli 5 Grains & Hazelnut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11002","Vogels Muesli Clusters Gut Health","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12329","Sanitarium Light N Tasty Cereal Macadamia","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13666","Something To Crow About Muesli Macadamia Honey & Nuts","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11010","Hubbards Amazing Toasted Nut Muesli Almond & Pecan","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12328","Sanitarium Light N Tasty Cereal Manuka Honey Date & Nut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13483","Grain Health Foods Toasted Muesli","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14081","Hubbards Legendary Locals Hawke's Bay Stone Fruit With Vanilla Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12739","Kelloggs Just Right Fusion Cereal Cranberry & Apple","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13026","Sanitarium Cereal Honey Puffs Oaty Crunch","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"7412","Loving Earth Buckinis Deluxe Clusters","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"7495","Food to Nourish Clusters Cacao Wattleseed","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12743","Sanitarium Weetbix Bites Wheat Biscuits Honey","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12344","Up&go Dairy Free Breakfast Drink Vanilla Ice","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"7494","Food to Nourish Clusters Hibiscus, Lemon & Blueberry","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14123","Pams Finest Luxury Tropical Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11106","Vogels Delightful Granola Raspberry, Amaranth and Blackcurrant","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"9552","Little Bird Grawnola Macadamia & Berry","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11100","Hubbards Be Mighty Granola Cocoa & Coconut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13460","Vogels Cafe Style Muesli Toasted Berry Gf","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"9722","Lotus Biscoff Spread Crunchy","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"14118","Pams Finest Luxury Vanilla Almond Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"9296","Brookfarm Nutty Granola Maple Vanilla","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"9468","Kelloggâ€™sÂ® Baked Muesli Breakfast Biscuits Gluten Free - Date & Apple 5Pack","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"11102","Vogels Cafe Style Muesli Nuts & Seeds","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14128","Hubbards BeMighty Salted Maple & Cashew Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"16084","Pams Smooth No Added Salt Peanut Butter","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]"
"11107","Vogels Delightful Granola Hazelnut Cacao","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11938","Hubbards Legendary Locals Granola Berries & Cocao","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11006","Macro Organic Granola Honey & Macadamia","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"15531","Pams Crunchy Peanut Butter","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]"
"15152","Pams No Added Salt Crunchy Peanut Butter","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]"
"9137","Hubbards Granola Raspberry & Maple","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14102","Hubbards Passionfruit Coconut Pineapple Crispy Crunchy Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12747","Uncle Tobys Cereal Multigrain Honey Cheerios","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"11099","Hubbards Granola Blueberry Pistachio","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13651","Macro Organic Muesli Cacao & Coconut Clusters","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"7504","Eclipse Wholefoods Roasted Digestive Clusters Salted Caramel & Ginger Nut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"15503","Fix & Fogg Granola Butter","[""Dairy Free"",""Egg Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"13017","Sanitarium Weetbix Wheat Biscuits Multi Grain","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12748","Uncle Tobys Cheerios Cereal 4 Wholegrains","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"11001","Sanitarium Cluster Crisp Muesli Blueberry & Maple Syrup","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"16604","Apple, Maple & Cashew Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"4927","Coffee Deluxe Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11103","Vogels Cafe Style Muesli Fruit & Nut Gf","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"4931","Probiotic Plum & Hemp Seeds Easy Oats","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11615","Be Natural Granola Low Sugar","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"4891","Organic Ginger Crunch & Plum Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"4930","Probiotic Spiced Apple & Maca Easy Oats","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12303","Free From Gluten Cereal Chia Coconut & Vanilla","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13025","Weight Watchers Cereal Tropical Blast","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14028","Pams Finest Luxury Toasted Apricot, Cashew & Almond Muesli","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12745","Be Natural Cereal 3 Nuts & Coconut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"4888","Crunchy Muesli With Flakes","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"7411","Loving Earth Buckinis Nut & Seed Cereal","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13027","Sanitarium Weetbix Wheat Biscuits Cranberry & Coconut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13477","Something To Crow About Muesli Supreme Nuts & Raspberry","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
