"id","product","tags","ingredients"
"4880","Misomite","[""Tree-nut Free"",""Sesame Free"",""Soy Free"",""Dairy Free"",""Egg Free"",""Peanut Free"",""Gluten Free Coeliac/Celiac""]","[""rice soy beans sea salt water koji aspergillus oryzae nisin msg freemsg free"",""gmo free"",""unpasteurised and gluten free""]"
"4881","Choc Nut Nograin-Ola","[""Peanut Free"",""Egg Free"",""Sesame Free"",""Gluten Free Coeliac/Celiac"",""Wheat Free""]","[""almondssunflower seeds dark real chocolatebutteremulsifierwalnutspumpkin seedsorganic coconuthoneypure maple syrupchia seedsmacadamiaorganic coconut oilolive oil""]"
"4883","Original Chunky Nut Muesli","[""Wheat Free"",""Sesame Free"",""Peanut Free"",""Egg Free"",""Dairy Free"",""Soy Free""]","[""sultana"",""pumpkin seed"",""rice flour coats apricots and dates to prevent sticking"",""linseed"",""organic coconut"",""wholegrain oats"",""brazil nuts"",""dried fruit  sulphite free apricots"",""nuts  almonds"",""nz honey"",""seeds  sunflower seeds"",""hi oleic sunflower oil"",""dried dates"",""cottonseed oil coats sultanas to prevent sticking""]"
"4884","Tropical Mango & Fruit Crunch","[""Sesame Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Dairy Free""]","[""peanut"",""pumpkin seed"",""gluten free cornflakes corn"",""golden syrup"",""folatemineral ironnuts  almonds"",""soybeancontains  nuts"",""salt"",""riboflavin"",""organic coconutseeds  sunflower seeds"",""seeds amp dried fruit"",""linseedcoconut nectarolive oilpure freeze dried mango slices spicesnbspequivalent to  fresh mango contains tree nuts"",""thiamin"",""sugar"",""emulsifier 471vitamins niacin"",""may contain traces of milk""]"
"4885","Cinnamon Spiced Almond Butter With Chia & Hemp","[""Sesame Free"",""Soy Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Dairy Free"",""Peanut Free"",""Wheat Free""]","[""almond"",""chia seed"",""nz sea salt certified organic"",""ground cinnamon"",""coconut sugar"",""hemp hearts""]"
"4886","New Zealand Manuka Blend Honey","[""Dairy Free"",""Egg Free"",""Sesame Free"",""Peanut Free"",""Tree-nut Free"",""Gluten Free Coeliac/Celiac"",""Wheat Free"",""Soy Free""]","[""pure new zealand honey""]"
"4887","Strawberry & Pistachio Breakfast Mix","[""Peanut Free"",""Gluten Free Coeliac/Celiac"",""Egg Free"",""Dairy Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]","[""almond"",""organic coconutpistachio nutssunflower seedspumpkin seedsfreeze dried strawberriesnz cold pressed extra virgin rapeseed oilcoconut oilspicesnatural vanilla amp berry flavourssea salt""]"
"4888","Crunchy Muesli With Flakes","[""Dairy Free"",""Sesame Free"",""Egg Free"",""Peanut Free"",""Soy Free""]","[""sunflower seed"",""linseed"",""high oleic sunflower oil"",""organic coconut"",""rolled barleymax flakes"",""nuts  almonds"",""wholegrain oats"",""seeds  pumpkin seeds"",""nz honey"",""natural vanilla bean extractrolled oatsalmondscornflakesbran flakespumpkin seedssunflower seedshoneyorganic coconutflaxseedspure maple syrupolive oilcoconut oilnatural vanilla extract"",""wheat bran flakes""]"
"4889","Manuka Honey Blend","[""Sesame Free"",""Wheat Free"",""Gluten Free Coeliac/Celiac"",""Dairy Free"",""Tree-nut Free"",""Peanut Free"",""Soy Free"",""Egg Free""]","[""comvita manuka honey blend contains at least  pure new zealand umf 5 manuka honey combined with bush honey from new zealand native rewarewa and kamahi trees""]"
"4890","Raspberry & Maple Nut Nograin-Ola","[""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free"",""Peanut Free"",""Egg Free"",""Dairy Free""]","[""almondssunflower seedswalnutsbrazil nutspumpkin seedsorganic coconuthoneypure maple syrupolive oilchia seedsfreezedried raspberriesnatural vanilla bean extract""]"
